timestamp,cpu_percent,ram_mb
1737395262,105.00,1051.28
1737395263,107.00,1051.28
1737395264,106.00,1051.28
1737395265,106.00,1051.28
1737395266,109.00,1051.28
1737395267,107.00,1051.28
1737395268,105.00,1051.28
1737395269,107.00,1051.28
1737395270,110.00,1051.28
1737395271,104.00,1051.28
1737395272,110.00,1051.28
1737395273,105.00,1051.28
1737395274,104.00,1051.28
1737395275,107.00,1051.28
1737395276,105.00,1051.28
1737395277,105.00,1051.28
1737395278,105.00,1051.28
1737395279,104.00,1051.28
1737395280,104.00,1051.28
1737395281,107.00,1051.28
1737395282,106.00,1051.28
1737395283,106.00,1051.28
1737395284,108.00,1051.28
1737395285,106.00,1051.28
1737395286,105.00,1051.28
1737395287,104.00,1051.28
1737395288,107.00,1051.28
1737395289,105.00,1051.28
1737395290,105.00,1051.28
1737395291,111.00,1051.28
1737395292,104.00,1051.28
1737395293,106.00,1051.28
1737395294,109.00,1051.28
1737395295,105.00,1051.28
1737395296,105.00,1051.28
1737395297,113.00,1051.28
1737395298,106.00,1051.28
1737395299,109.00,1051.28
1737395300,307.00,1105.69
1737395301,370.00,1058.27
1737395302,211.00,1051.27
1737395303,106.00,1051.27
1737395304,108.00,1051.27
1737395305,105.00,1051.27
1737395306,110.00,1051.27
1737395307,108.00,1051.27
1737395308,105.00,1051.27
1737395309,111.00,1051.27
1737395310,108.00,1051.27
1737395311,105.00,1051.27
1737395312,111.00,1051.27
1737395313,106.00,1051.27
1737395314,104.00,1051.27
1737395315,111.00,1051.27
1737395316,106.00,1051.27
1737395317,112.00,1051.27
1737395318,109.00,1051.27
1737395319,108.00,1051.27
1737395320,104.00,1051.27
1737395321,110.00,1051.27
1737395322,107.00,1051.27
1737395323,105.00,1051.27
1737395324,110.00,1051.27
1737395325,105.00,1051.27
1737395326,108.00,1051.27
1737395327,109.00,1051.27
1737395328,105.00,1051.27
1737395329,105.00,1051.27
1737395330,114.00,1051.27
1737395331,108.00,1051.27
